"scientificNameStd","TrophicLevel","AdultBodyMass_g","HomeRange_km2","TrophicGuild","tiger_pref","leopard_pref","dhole_pref","CL_pref"
"Arctictis_binturong","Omnivore",12999.99,NA,"Small_Omnivore","No","Yes","No","Yes"
"Arctonyx_collaris","Omnivore",8166.52,NA,"Small_Omnivore","No","Yes","No","Yes"
"Catopuma_temminckii","Carnivore",7726.46,NA,"Small_Carnivore","No","No","No","No"
"Cuon_alpinus","Carnivore",15800,33.64,"Large_Carnivore","No","No","No","No"
"Diplogale_hosei","Carnivore",2500,NA,"Small_Carnivore","No","No","No","No"
"Helarctos_malayanus","Omnivore",57075.78,NA,"Large_Omnivore","Yes","No","No","No"
"Hemigalus_derbyanus","Carnivore",1262.7,NA,"Small_Carnivore","No","No","No","No"
"Herpestes_brachyurus","Omnivore",1396.16,NA,"Small_Omnivore","No","No","No","No"
"Herpestes_urva","Carnivore",2384.19,NA,"Small_Carnivore","No","No","No","No"
"Hystrix_brachyura","Herbivore",8000,NA,"Small_Herbivore","No","No","No","Yes"
"Hystrix_crassispinis","Herbivore",4584.6,NA,"Small_Herbivore","No","No","No","No"
"Macaca_arctoides","Omnivore",9358.04,NA,"Small_Omnivore","No","Yes","No","Yes"
"Macaca_fascicularis","Omnivore",4569.32,0.46,"Small_Omnivore","No","Yes","No","No"
"Macaca_nemestrina","Omnivore",7820.78,1.75,"Small_Omnivore","No","Yes","No","Yes"
"Manis_javanica","Carnivore",4861.71,NA,"Small_Carnivore","No","No","No","No"
"Martes_flavigula","Omnivore",2504.64,NA,"Small_Omnivore","No","No","No","No"
"Paguma_larvata","Omnivore",4300,2.88,"Small_Omnivore","No","No","No","No"
"Panthera_pardus","Carnivore",52399.99,18.78,"Large_Carnivore","No","No","No","No"
"Panthera_tigris","Carnivore",161914.66,64.89,"Large_Carnivore","No","No","No","No"
"Paradoxurus_hermaphroditus","Omnivore",3200,4.15,"Small_Omnivore","No","No","No","No"
"Pardofelis_marmorata","Carnivore",2826.68,NA,"Small_Carnivore","No","No","No","No"
"Prionailurus_bengalensis","Carnivore",2780.97,1.87,"Small_Carnivore","No","No","No","No"
"Rusa_unicolor","Herbivore",177522.9,NA,"Large_Herbivore","Yes","No","Yes","Yes"
"Sus_barbatus","Omnivore",135805.95,NA,"Large_Omnivore","Yes","No","Yes","Yes"
"Sus_scrofa","Omnivore",84471.54,1.18,"Large_Omnivore","Yes","Yes","Yes","Yes"
"Tapirus_indicus","Herbivore",311209.19,9.4,"Large_Herbivore","Yes","No","No","No"
"Trichys_fasciculata","Herbivore",1750,NA,"Small_Herbivore","No","No","No","No"
"Ursus_thibetanus","Omnivore",99714.19,0.7,"Large_Omnivore","Yes","No","No","No"
"Viverra_megaspila","Omnivore",6600,NA,"Small_Omnivore","No","No","No","No"
"Viverra_tangalunga","Omnivore",7349.99,NA,"Small_Omnivore","No","No","No","Yes"
"Viverra_zibetha","Omnivore",9148.77,9.36,"Small_Omnivore","No","No","No","Yes"
"Viverricula_indica","Omnivore",2918.88,NA,"Small_Omnivore","No","No","No","No"
"Atherurus_macrourus","Herbivore",2000,NA,"Small_Herbivore","No","No","No","No"
"Varanus_salvator","Carnivore",3240,NA,"Small_Carnivore","No","No","No","No"
"Argusianus_argus","Herbivore",1959.9,NA,"Small_Herbivore","No","No","No","No"
"Lophura_bulweri","Herbivore",1245.2,NA,"Small_Herbivore","No","No","No","No"
"Lophura_diardi","Herbivore",1088.9,NA,"Small_Herbivore","No","No","No","No"
"Lophura_ignita","Herbivore",1768.1,NA,"Small_Herbivore","No","No","No","No"
"Lophura_nycthemera","Herbivore",1230,NA,"Small_Herbivore","No","No","No","No"
"Bos_gaurus","Herbivore",635974.34,NA,"Large_Herbivore","Yes","No","No","No"
"Capricornis_genus","Herbivore",110942.22,NA,"Large_Herbivore","Yes","No","Yes","Yes"
"Muntiacus_genus","Herbivore",17611.59,NA,"Small_Herbivore","Yes","Yes","Yes","Yes"
"Neofelis_genus","Carnivore",14945.05,NA,"Large_Carnivore","No","No","No","No"
"Tragulus_genus","Herbivore",5273.67,NA,"Small_Herbivore","No","No","No","No"
